instanceId;objectId;brandModelId;manufacturer;model;serialNumber;spec;yom;infleetStartDate;infleetEndDate;purpose;status;opco;ownerType;ownerSource;ownerId;objectUri;brandModelUri;modelVersionUri;ownerObjectId;customsDocumentNumber;borderLocationId;importDate;transportHeight;transportLength;transportWidth;engineType;registrationNumber;standardConfigurationId;modelGroupId;modelGroupName;depot;rasterLocation
"5e135b686512316411ee6492";"X12130";"5cc6bed452faff0001aa8287";MANITOU;"WINCH 5T";;CE;;"2020-01-07T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5e135b686512316411ee6492";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bed452faff0001aa8287";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6beda52faff0001aa8288";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5dfc95f4d2f12e2b5aebf4d8";"X12123";"5cc6c38852faff0001aa828b";MANITOU;"P4000 HORIZONTAL CRANE JIB 4T 653226";;CE;;"2019-12-23T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5dfc95f4d2f12e2b5aebf4d8";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6c38852faff0001aa828b";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6c3ad52faff0001273390";;;;;"0.487 m";"2.838 m";"0.83 m";;;;;;;
"5dfb6ce3a8fd782673f12b66";"X12118";"5cc6bec752faff000127338e";MANITOU;"WINCH 3T 921337";;CE;;"2019-12-21T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5dfb6ce3a8fd782673f12b66";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bec752faff000127338e";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6bef252faff000127338f";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5def813867785f54dfb01197";"X12107";"5cc6bec752faff000127338e";MANITOU;"WINCH 3T 921337";;CE;;"2019-12-11T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5def813867785f54dfb01197";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bec752faff000127338e";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6bef252faff000127338f";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5dee729267785f54dfb01169";"X12105";"5cc6c38852faff0001aa828b";MANITOU;"P4000 HORIZONTAL CRANE JIB 4T 653226";;CE;;"2019-12-10T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5dee729267785f54dfb01169";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6c38852faff0001aa828b";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6c3ad52faff0001273390";;;;;"0.487 m";"2.838 m";"0.83 m";;;;;;;
"5ba4b0ebaab0e7000937f63e";"T12823";"6034c60cd8d58556cd7979df";MANITOU;"NAC 2,25/4M 365KG CAGE 711204";;CE;"2010";"2010-01-01T00:00Z";;RENTAL;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b0ebaab0e7000937f63e";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/6034c60cd8d58556cd7979df";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/6034c62fd8d58556cd7979e0";;;;;;;"2.25 m";;;;;;;
"5ba4b3f6aab0e70009381618";"X10962";;"CAM ATTACHMENTS";;;CE;;;;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5ba4b3f6aab0e70009381618";;;;;;;;;;;;;;;;
"5da03ba9f7fa01000172e203";"T18267";;"CAM ATTACHMENTS";"PRC40DA";"12209PRC";CE;"2019";"2019-01-01T00:00Z";;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5da03ba9f7fa01000172e203";;;;;;;;;;;;;;;;
"5d95fa4252faff0001ffd4fe";"T18266";;"CAM ATTACHMENTS";"PRC28DT";"08074PRC";CE;"2019";"2019-01-01T00:00Z";;SERVICE;SOLD;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5d95fa4252faff0001ffd4fe";;;;;;;;;;;;;;;;
"5d52cacc52faff00010436f0";"T18257";;"CAM ATTACHMENTS";"PL49T.165";;CE;;;;EQP_USED;RECEIVED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5d52cacc52faff00010436f0";;;;;;;;;;;;;;;;
"e385aeebca9b45f2ba1dd594840c8645";"X12629";"5cc6bec752faff000127338e";MANITOU;"WINCH 3T 921337";;CE;;"2021-05-07T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/e385aeebca9b45f2ba1dd594840c8645";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bec752faff000127338e";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6bef252faff000127338f";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
"5d14815b52faff0001fce8c7";"X11904";"5cc6bec752faff000127338e";MANITOU;"WINCH 3T 921337";;CE;;"2019-07-02T00:00Z";;SUBRENTAL;RETURNED;"BE01";OPCO;"D365FO";"BE01";"https://object-management.masq.qone.mateco.eu/objects/5d14815b52faff0001fce8c7";"https://model-version-management.masq.qone.mateco.eu/brandmodels/edit/5cc6bec752faff000127338e";"https://model-version-management.masq.qone.mateco.eu/modelversions/edit/5cc6bef252faff000127338f";;;;;"1.44 m";"0.865 m";"0.95 m";;;;;;;
